900074,https://www.commercialguru.com.sg/listing/22292384/for-sale-first-centre,For Sale - First Centre,First Centre,50 Serangoon North Avenue 4,1905,750000,393.70,,6h
900075,https://www.commercialguru.com.sg/listing/22242065/for-sale-urban-lofts,For Sale - Urban Lofts,Urban Lofts,89 Rangoon Road,657,2050000,"3,120.24",,6h
900076,https://www.commercialguru.com.sg/listing/22625024/for-sale-465-north-bridge-road,For Sale - 465 North Bridge Road,465 North Bridge Road,465 465 north bridge road,300,538000,"1,793.33",,6h
900077,https://www.commercialguru.com.sg/listing/22938703/for-sale-38-lorong-mambong,For Sale - 38 Lorong Mambong,38 Lorong Mambong,Lorong Mambong,3000,15000000,"5,000.00",,6h
900078,https://www.commercialguru.com.sg/listing/22890639/for-sale-commercial-shophouse-at-serangoon-rd-for-sale,For Sale - Commercial  Shophouse at Serangoon Rd for Sale!,Commercial  Shophouse at Serangoon Rd for Sale!,618 serangoon road,3000,4800000,"1,600.00",,6h
900079,https://www.commercialguru.com.sg/listing/21860707/for-sale-arab-street,For Sale - Arab street,Arab street,,2800,6800000,"2,428.57",,6h
900080,https://www.commercialguru.com.sg/listing/22668522/for-sale-the-commerze-irving,For Sale - The Commerze @ Irving,The Commerze @ Irving,1 Irving Place,1066,780000,731.71,,7h
900081,https://www.commercialguru.com.sg/listing/22863077/for-sale-redhill-forum,For Sale - Redhill Forum,Redhill Forum,16 Jalan Kilang Timor,1043,570000,546.50,,7h
900082,https://www.commercialguru.com.sg/listing/22104441/for-sale-woodlands-bizhub,For Sale - Woodlands Bizhub,Woodlands Bizhub,190 Woodlands Industrial Park E5,1399,500000,357.40,,7h
900083,https://www.commercialguru.com.sg/listing/21308317/for-sale-bukit-timah-1st-floor-shop-for-sale,For Sale - Bukit Timah 1st Floor Shop for Sale,Bukit Timah 1st Floor Shop for Sale,Jalan Bingka,1100,1200000,"1,090.91",,7h
900084,https://www.commercialguru.com.sg/listing/19524921/for-sale-centrium-square-former-serangoon-plaza,For Sale - Centrium Square (Former Serangoon Plaza),Centrium Square (Former Serangoon Plaza),,570,1523900,"2,673.51",,7h
900085,https://www.commercialguru.com.sg/listing/22473861/for-sale-b2-factory-with-dormitory,For Sale - B2 Factory with Dormitory,B2 Factory with Dormitory,29 Tuas view walk two,20214,7000000,346.29,,7h
900086,https://www.commercialguru.com.sg/listing/22738050/for-sale-d19-2-level-ground-floor-hdb-shophouse-w-residential-apartment-at-lorong-ah-soo,For Sale - D19 2 Level Ground floor HDB Shophouse w Residential Apartment at Lorong Ah Soo,D19 2 Level Ground floor HDB Shophouse w Residential Apartment at Lorong Ah Soo,"Lorong Ah Soo, Upper Serangoon, Upp Paya Lebar",1669,1290000,772.92,,7h
900087,https://www.commercialguru.com.sg/listing/22718451/for-sale-d14-freehold-ground-floor-shophouse-in-geylang-very-good-condition,For Sale - D14 Freehold Ground Floor Shophouse in Geylang Very Good Condition,D14 Freehold Ground Floor Shophouse in Geylang Very Good Condition,,1570,1990000,"1,267.52",,7h
900088,https://www.commercialguru.com.sg/listing/22366154/for-sale-740-bedok-reservoir-road,For Sale - 740 Bedok Reservoir Road,740 Bedok Reservoir Road,740 Bedok Reservoir Road,1647,2000000,"1,214.33",,7h
900089,https://www.commercialguru.com.sg/listing/22682337/for-sale-sim-lim-square,For Sale - Sim Lim Square,Sim Lim Square,1 Rochor Canal Road,1356,3000000,"2,212.39",,7h
900090,https://www.commercialguru.com.sg/listing/22618631/for-sale-83-marine-parade-central,For Sale - 83 Marine Parade Central,83 Marine Parade Central,83 Marine Parade Central,3480,8800000,"2,528.74",,7h
900091,https://www.commercialguru.com.sg/listing/22617793/for-sale-d19-freehold-f-b-canteen-coffeeshop-at-new-industrial-road,For Sale - D19 Freehold F&B Canteen Coffeeshop at New Industrial Road,D19 Freehold F&B Canteen Coffeeshop at New Industrial Road,"New Industrial Rd, Bartley, Paya Lebar",3430,3300000,962.10,,7h
900092,https://www.commercialguru.com.sg/listing/22617188/for-sale-bukit-timah-shopping-centre,For Sale - Bukit Timah Shopping Centre,Bukit Timah Shopping Centre,170 Upper Bukit Timah Road,108,568000,"5,259.26",,7h
900093,https://www.commercialguru.com.sg/listing/22616825/for-sale-d13-freehold-f-b-coffeeshop-canteen-at-macpherson-industrial,For Sale - D13 Freehold F&B Coffeeshop Canteen at Macpherson Industrial,D13 Freehold F&B Coffeeshop Canteen at Macpherson Industrial,"Tannery Lane, Macpherson Rd, Aljunied Rd",1583,4000000,"2,526.85",,7h
900094,https://www.commercialguru.com.sg/listing/22614394/for-sale-d15-rare-3-sty-999-leasehold-corner-shophouse-nr-joo-chiat-rd-for-sale,For Sale - D15 Rare 3 Sty 999 Leasehold Corner Shophouse nr Joo Chiat Rd for Sale,D15 Rare 3 Sty 999 Leasehold Corner Shophouse nr Joo Chiat Rd for Sale,"Koon Seng, Joo Chiat, Haig Rd",2206,3800000,"1,722.57",,7h
900095,https://www.commercialguru.com.sg/listing/22614308/for-sale-142-lorong-ah-soo,For Sale - 142 Lorong Ah Soo,142 Lorong Ah Soo,142 Lorong Ah Soo,1669,1600000,958.66,,7h
900096,https://www.commercialguru.com.sg/listing/22614178/for-sale-d18-spacious-production-area-multi-storey-building-large-warehouse-factory-for-sale,For Sale - D18 Spacious Production Area Multi-Storey Building Large Warehouse Factory for Sale,D18 Spacious Production Area Multi-Storey Building Large Warehouse Factory for Sale,"Upper Changi, Loyang Drive",82500,11800000,143.03,,7h
900097,https://www.commercialguru.com.sg/listing/22614074/for-sale-d17-high-usable-area-multi-storey-building-large-warehouse-factory-for-sale,For Sale - D17 High Usable Area Multi-Storey Building Large Warehouse Factory for Sale,D17 High Usable Area Multi-Storey Building Large Warehouse Factory for Sale,"Changi South, Changi North, Xilin Ave",82500,11800000,143.03,,7h
900098,https://www.commercialguru.com.sg/listing/22579054/for-sale-tiong-bahru-shopping-centre,For Sale - Tiong Bahru Shopping Centre,Tiong Bahru Shopping Centre,302 Tiong Bahru Road,538,1990000,"3,698.88",,7h
900099,https://www.commercialguru.com.sg/listing/22371899/for-sale-d02-3-5-storey-shophouse-with-999lh-sits-in-prime-cbd-area,For Sale - D02 3. 5 storey Shophouse with 999LH sits in Prime CBD area,D02 3. 5 storey Shophouse with 999LH sits in Prime CBD area,"Cecil St, Cross St, South Bridge Rd",7440,35000000,"4,704.30",,7h
900100,https://www.commercialguru.com.sg/listing/22371818/for-sale-d02-newly-restored-3-storey-shophouse-with-attic-for-sale-in-the-vibrant-commercial-district,For Sale - D02 Newly restored 3-storey shophouse with attic for sale in the vibrant commercial district,D02 Newly restored 3-storey shophouse with attic for sale in the vibrant commercial district,"Maxwell Rd, Neil Rd, Keong Saik Rd",4477,15000000,"3,350.46",,7h
900101,https://www.commercialguru.com.sg/listing/22305561/for-sale-t-space,For Sale - T-Space,T-Space,1 Tampines North Drive 1,39000,8180000,209.74,,7h
900102,https://www.commercialguru.com.sg/listing/22251720/for-sale-d05-f-b-coffeeshop-near-clementi-mrt,For Sale - D05 F&B Coffeeshop near Clementi MRT,D05 F&B Coffeeshop near Clementi MRT,"Clementi Ave, Commonwealth Ave, Clementi Rd",3358,1680000,500.30,,7h
900103,https://www.commercialguru.com.sg/listing/22226730/for-sale-the-alexcier,For Sale - The Alexcier,The Alexcier,237 Alexandra Road,1206,688000,570.48,,7h
